ate = 0.076771
1305031099.235900 -0.073997 0.059297 0.167604
1305031099.245900 -0.074426 0.060224 0.171825
1305031099.255900 -0.074666 0.061087 0.176148
1305031099.265900 -0.075104 0.061950 0.180446
1305031099.275800 -0.075326 0.062799 0.184629
1305031099.285900 -0.075738 0.063712 0.188711
1305031099.295900 -0.075950 0.064624 0.192817
1305031099.306000 -0.076157 0.065318 0.196875
1305031099.315900 -0.076535 0.066061 0.200691
1305031099.325900 -0.076623 0.066882 0.204608
1305031099.335900 -0.076822 0.067498 0.208603
1305031099.345900 -0.076877 0.068150 0.212254
1305031099.355800 -0.076939 0.068879 0.215969
1305031099.365900 -0.077041 0.069355 0.219990
1305031099.375800 -0.077185 0.070069 0.223552
1305031099.386000 -0.077232 0.070643 0.227141
1305031099.395900 -0.077290 0.071013 0.230820
1305031099.405900 -0.077435 0.071728 0.234383
1305031099.415900 -0.077283 0.072302 0.237996
1305031099.425900 -0.077287 0.072770 0.241243
1305031099.435900 -0.077216 0.073470 0.244690
1305031099.446000 -0.077238 0.073953 0.248076
1305031099.455900 -0.077269 0.074372 0.251540
1305031099.465900 -0.077370 0.074980 0.254760
1305031099.475900 -0.077248 0.075498 0.257802
1305031099.485800 -0.077353 0.075825 0.261051
1305031099.495900 -0.077373 0.076448 0.264423
1305031099.505900 -0.077159 0.077042 0.267541
1305031099.516600 -0.077236 0.077559 0.270558
1305031099.525900 -0.077121 0.078154 0.273664
1305031099.535900 -0.077117 0.078544 0.276848
1305031099.546000 -0.077048 0.079237 0.279508
1305031099.555900 -0.076945 0.079628 0.282704
1305031099.565900 -0.076947 0.080236 0.285937
1305031099.575900 -0.076924 0.080753 0.288967
1305031099.585900 -0.076783 0.081397 0.291856
1305031099.595900 -0.076668 0.081991 0.294961
1305031099.605900 -0.076620 0.082417 0.297789
1305031099.615900 -0.076397 0.083075 0.300830
1305031099.625900 -0.076140 0.083563 0.303606
1305031099.635900 -0.075890 0.084270 0.306430
1305031099.645900 -0.075643 0.084695 0.309283
1305031099.655800 -0.075589 0.085543 0.312069
1305031099.665900 -0.075243 0.085968 0.314934
1305031099.675900 -0.074950 0.086569 0.317416
1305031099.685900 -0.074746 0.087233 0.319810
1305031099.696000 -0.074429 0.087602 0.322104
1305031099.705900 -0.074109 0.088251 0.324370
1305031099.715900 -0.073807 0.088775 0.326790
1305031099.725900 -0.073553 0.089256 0.328778
1305031099.735900 -0.073332 0.089905 0.331032
1305031099.745900 -0.072988 0.090323 0.333110
1305031099.755800 -0.072624 0.090867 0.335034
1305031099.765800 -0.072335 0.091319 0.336743
1305031099.775900 -0.072223 0.092038 0.338260
1305031099.785900 -0.071997 0.092462 0.339677
1305031099.795900 -0.071632 0.092639 0.340779
1305031099.806000 -0.071444 0.093084 0.341689
1305031099.815800 -0.071430 0.093295 0.342385
1305031099.825900 -0.071399 0.093493 0.342942
1305031099.835900 -0.071335 0.093522 0.343234
1305031099.845900 -0.071236 0.093522 0.343246
1305031099.855900 -0.071202 0.093352 0.342981
1305031099.865900 -0.071251 0.093169 0.342564
1305031099.875900 -0.071154 0.093161 0.341789
1305031099.885900 -0.071060 0.092872 0.341042
1305031099.895900 -0.071013 0.092540 0.339864
1305031099.905900 -0.071005 0.092087 0.338192
1305031099.916000 -0.071214 0.091509 0.336649
1305031099.925900 -0.071050 0.090655 0.334536
1305031099.935800 -0.070874 0.090005 0.332333
1305031099.945900 -0.070963 0.089186 0.329826
1305031099.956000 -0.071128 0.088135 0.327119
1305031099.965900 -0.071273 0.087210 0.324259
1305031099.975900 -0.071293 0.086193 0.321208
1305031099.985900 -0.071520 0.085254 0.318195
1305031099.995900 -0.071597 0.084132 0.314790
1305031100.005900 -0.071755 0.082995 0.311233
1305031100.015900 -0.071816 0.081717 0.307703
1305031100.025900 -0.071850 0.080489 0.303956
1305031100.035900 -0.072063 0.079387 0.300030
1305031100.045900 -0.072315 0.078032 0.296412
1305031100.055900 -0.072313 0.076775 0.292386
1305031100.065900 -0.072396 0.075363 0.288222
1305031100.075900 -0.072611 0.074120 0.284311
1305031100.085900 -0.072473 0.072975 0.280003
1305031100.095900 -0.072480 0.071796 0.276040
1305031100.105800 -0.072487 0.070616 0.272077
1305031100.116900 -0.072377 0.069423 0.267986
1305031100.125900 -0.072555 0.068292 0.263781
1305031100.135900 -0.072344 0.067239 0.259689
1305031100.145900 -0.072413 0.066172 0.255420
1305031100.155900 -0.072408 0.065196 0.251365
1305031100.165900 -0.072359 0.064256 0.246955
1305031100.175900 -0.072220 0.063252 0.242634
1305031100.185900 -0.072064 0.062233 0.238173
1305031100.195900 -0.071810 0.061075 0.233739
1305031100.206000 -0.071529 0.059965 0.229088
1305031100.215900 -0.071246 0.058995 0.224423
1305031100.225900 -0.070992 0.057837 0.219989
1305031100.235900 -0.070583 0.056916 0.215120
1305031100.245900 -0.070310 0.055884 0.210532
1305031100.255900 -0.070010 0.054900 0.205728
1305031100.265900 -0.069765 0.053678 0.201370
1305031100.275900 -0.069259 0.052617 0.196528
1305031100.285900 -0.068886 0.051585 0.191952
1305031100.295900 -0.068485 0.050742 0.187146
1305031100.306000 -0.068103 0.049773 0.182494
1305031100.315900 -0.067715 0.048586 0.177793
1305031100.325900 -0.067309 0.047384 0.172952
1305031100.335900 -0.066604 0.046323 0.168135
1305031100.345900 -0.066352 0.045024 0.163715
1305031100.355900 -0.065690 0.044201 0.158438
1305031100.365800 -0.065327 0.043106 0.153939
1305031100.375900 -0.064593 0.042235 0.148891
1305031100.385900 -0.064077 0.041237 0.143972
1305031100.395900 -0.063668 0.040317 0.139103
1305031100.405900 -0.063134 0.039305 0.134044
1305031100.415900 -0.062538 0.038181 0.129291
1305031100.425900 -0.062039 0.037197 0.124512
1305031100.435900 -0.061642 0.036073 0.119734
1305031100.446000 -0.061215 0.035139 0.114725
1305031100.455800 -0.060592 0.034064 0.109756
1305031100.465800 -0.060291 0.033080 0.104951
1305031100.475900 -0.059911 0.031970 0.100313
1305031100.485800 -0.059606 0.030628 0.095474
1305031100.495800 -0.059218 0.029441 0.090773
1305031100.505900 -0.058494 0.028506 0.085802
1305031100.515800 -0.058213 0.027396 0.081151
1305031100.525900 -0.057957 0.026378 0.076703
1305031100.535900 -0.057443 0.025240 0.071798
1305031100.545900 -0.057090 0.024081 0.067376
1305031100.555800 -0.056935 0.022922 0.062929
1305031100.565800 -0.056547 0.021735 0.058228
1305031100.575800 -0.056192 0.020716 0.053793
1305031100.585900 -0.055864 0.019649 0.049573
1305031100.595900 -0.055402 0.018554 0.045087
1305031100.605900 -0.055127 0.017662 0.040485
1305031100.615900 -0.054728 0.016546 0.036494
1305031100.625900 -0.054698 0.015478 0.032238
1305031100.635900 -0.054290 0.014285 0.028184
1305031100.645900 -0.054026 0.013056 0.024475
1305031100.655900 -0.053615 0.012144 0.020393
1305031100.665900 -0.053342 0.010979 0.016607
1305031100.675900 -0.053030 0.010066 0.012513
1305031100.685800 -0.052772 0.009056 0.008852
1305031100.695800 -0.052306 0.008109 0.005139
1305031100.705800 -0.051967 0.007113 0.001630
1305031100.715900 -0.051575 0.006074 -0.002298
1305031100.725900 -0.051253 0.005093 -0.005667
1305031100.735800 -0.050793 0.004364 -0.009332
1305031100.746000 -0.050585 0.003677 -0.012602
1305031100.755900 -0.050170 0.002914 -0.015910
1305031100.765800 -0.049784 0.001961 -0.018988
1305031100.775800 -0.049575 0.001274 -0.022258
1305031100.785800 -0.049386 0.000462 -0.025375
1305031100.795800 -0.048850 -0.000035 -0.028839
1305031100.805900 -0.048360 -0.000566 -0.031946
1305031100.815800 -0.048332 -0.001399 -0.034580
1305031100.825800 -0.048084 -0.001965 -0.037356
1305031100.835900 -0.047594 -0.002496 -0.040464
1305031100.845900 -0.047327 -0.002936 -0.043394
1305031100.855900 -0.046734 -0.003186 -0.046517
1305031100.865800 -0.046718 -0.003583 -0.049054
1305031100.875800 -0.046570 -0.004149 -0.051842
1305031100.885900 -0.046076 -0.004399 -0.054978
1305031100.895800 -0.045945 -0.004950 -0.057627
1305031100.905900 -0.045902 -0.005298 -0.060380
1305031100.915800 -0.045762 -0.005787 -0.063106
1305031100.925900 -0.045511 -0.006071 -0.065911
1305031100.935900 -0.045260 -0.006356 -0.068715
1305031100.945900 -0.045234 -0.006690 -0.071329
1305031100.955900 -0.044845 -0.006721 -0.074428
1305031100.965900 -0.044666 -0.007090 -0.076660
1305031100.975900 -0.044532 -0.007360 -0.079338
1305031100.986000 -0.044460 -0.007651 -0.081520
1305031100.995900 -0.044205 -0.007654 -0.084352
1305031101.005900 -0.043818 -0.007959 -0.086636
1305031101.015900 -0.043616 -0.007920 -0.089051
1305031101.025800 -0.043283 -0.008190 -0.091703
1305031101.035800 -0.042887 -0.008432 -0.094064
1305031101.045900 -0.042688 -0.008674 -0.096450
1305031101.055900 -0.042589 -0.008916 -0.098848
1305031101.065900 -0.042390 -0.009158 -0.101234
1305031101.075800 -0.042081 -0.009196 -0.103698
1305031101.085900 -0.041908 -0.009346 -0.105882
1305031101.095900 -0.041511 -0.009588 -0.108243
1305031101.105900 -0.041346 -0.009661 -0.110363
1305031101.115900 -0.041055 -0.009685 -0.112688
1305031101.125900 -0.040683 -0.009835 -0.114847
1305031101.135900 -0.040564 -0.010083 -0.116597
1305031101.145900 -0.040059 -0.010262 -0.119023
1305031101.155800 -0.040020 -0.010384 -0.120939
1305031101.165900 -0.039720 -0.010485 -0.123327
1305031101.175900 -0.039387 -0.010888 -0.125178
1305031101.185800 -0.039249 -0.011010 -0.127082
1305031101.195800 -0.038796 -0.011146 -0.129089
1305031101.205900 -0.038266 -0.011689 -0.130901
1305031101.215800 -0.038031 -0.011952 -0.132778
1305031101.225800 -0.037595 -0.012074 -0.134645
1305031101.235900 -0.037198 -0.012316 -0.137006
1305031101.245900 -0.036763 -0.012437 -0.138873
1305031101.255900 -0.036428 -0.012700 -0.140738
1305031101.265900 -0.035895 -0.012962 -0.142579
1305031101.275900 -0.035397 -0.013063 -0.144941
1305031101.285900 -0.035081 -0.013452 -0.146653
1305031101.295900 -0.034606 -0.013961 -0.148833
1305031101.305900 -0.033939 -0.014252 -0.150940
1305031101.315800 -0.033499 -0.014733 -0.152842
1305031101.325800 -0.032833 -0.015164 -0.154935
1305031101.335900 -0.032267 -0.015596 -0.157040
1305031101.345900 -0.031710 -0.016091 -0.159069
1305031101.355900 -0.031134 -0.016459 -0.161251
1305031101.365900 -0.030404 -0.016862 -0.163052
1305031101.375800 -0.029857 -0.017420 -0.165004
1305031101.385800 -0.028991 -0.017711 -0.167086
1305031101.395900 -0.028567 -0.018037 -0.168862
1305031101.405900 -0.027603 -0.018468 -0.170918
1305031101.415900 -0.026998 -0.018780 -0.172529
1305031101.425900 -0.026417 -0.019640 -0.173945
1305031101.435800 -0.025766 -0.019776 -0.175926
1305031101.445900 -0.025031 -0.020671 -0.176961
1305031101.455800 -0.024688 -0.021143 -0.178087
1305031101.465900 -0.023923 -0.021575 -0.180168
1305031101.475800 -0.023563 -0.022062 -0.181434
1305031101.485800 -0.022788 -0.022563 -0.182790
1305031101.495800 -0.022309 -0.022923 -0.184197
1305031101.505800 -0.021661 -0.023473 -0.185349
1305031101.515900 -0.021110 -0.023883 -0.186528
1305031101.525800 -0.020081 -0.024012 -0.189107
1305031101.536000 -0.019524 -0.024640 -0.190334
1305031101.545900 -0.018974 -0.025190 -0.191499
1305031101.555900 -0.018242 -0.025585 -0.192513
1305031101.565900 -0.017693 -0.026136 -0.193677
1305031101.575900 -0.017061 -0.026531 -0.194703
1305031101.585800 -0.016465 -0.027038 -0.195436
1305031101.595800 -0.015688 -0.027531 -0.196005
1305031101.605900 -0.015189 -0.027898 -0.196765
1305031101.615800 -0.014720 -0.028455 -0.197294
1305031101.625800 -0.014247 -0.028730 -0.197851
1305031101.635900 -0.013921 -0.029321 -0.198036
1305031101.645900 -0.013178 -0.029645 -0.198340
1305031101.655900 -0.012866 -0.029940 -0.198414
1305031101.665800 -0.012471 -0.030081 -0.198350
1305031101.675900 -0.012218 -0.030116 -0.197957
1305031101.685800 -0.011992 -0.030200 -0.197347
1305031101.695900 -0.011646 -0.030016 -0.196892
1305031101.705900 -0.011407 -0.029755 -0.196387
1305031101.715800 -0.011323 -0.029733 -0.195448
1305031101.725900 -0.011146 -0.029493 -0.194448
1305031101.735900 -0.011059 -0.029189 -0.193536
1305031101.745900 -0.011088 -0.029004 -0.191697
1305031101.755900 -0.011065 -0.028862 -0.190276
1305031101.765900 -0.011254 -0.028424 -0.188768
1305031101.775800 -0.011334 -0.027923 -0.187325
1305031101.785800 -0.011449 -0.027393 -0.185603
1305031101.795900 -0.011557 -0.026941 -0.183943
1305031101.805900 -0.011819 -0.026860 -0.181048
1305031101.815900 -0.012306 -0.026555 -0.178776
1305031101.825900 -0.012833 -0.025871 -0.176978
1305031101.835900 -0.013410 -0.025502 -0.174796
1305031101.845800 -0.013969 -0.024508 -0.172747
1305031101.855800 -0.014394 -0.023675 -0.170163
1305031101.865800 -0.015054 -0.022954 -0.167311
1305031101.875800 -0.015604 -0.022029 -0.164537
1305031101.885800 -0.016019 -0.021132 -0.162031
1305031101.895900 -0.016696 -0.020397 -0.159039
1305031101.905800 -0.017347 -0.019613 -0.156264
1305031101.915800 -0.018234 -0.019082 -0.153206
1305031101.926000 -0.018805 -0.018424 -0.150264
1305031101.935900 -0.019583 -0.017830 -0.147271
1305031101.945900 -0.020359 -0.016954 -0.144306
1305031101.955800 -0.021270 -0.016190 -0.141060
1305031101.965900 -0.021939 -0.015533 -0.138131
1305031101.975800 -0.022860 -0.014832 -0.134808
1305031101.985900 -0.023637 -0.014097 -0.131829
1305031101.995800 -0.024297 -0.013509 -0.128175
1305031102.006000 -0.025173 -0.012774 -0.125208
1305031102.015900 -0.025897 -0.012214 -0.121846
1305031102.025900 -0.026784 -0.011816 -0.117987
1305031102.035800 -0.027646 -0.011509 -0.114330
1305031102.045800 -0.028327 -0.011055 -0.111310
1305031102.055900 -0.029053 -0.010504 -0.108736
1305031102.065800 -0.029958 -0.010091 -0.104737
1305031102.076000 -0.031007 -0.009580 -0.101196
1305031102.085900 -0.031729 -0.008880 -0.097848
1305031102.096000 -0.032257 -0.008328 -0.095248
1305031102.105800 -0.032982 -0.007909 -0.091872
1305031102.115900 -0.034130 -0.007532 -0.087542
1305031102.126000 -0.034629 -0.006923 -0.084372
1305031102.135800 -0.035561 -0.006426 -0.080958
1305031102.145800 -0.036234 -0.006183 -0.077199
1305031102.155800 -0.037059 -0.005764 -0.073836
1305031102.165800 -0.037596 -0.005276 -0.071159
1305031102.175800 -0.038616 -0.004708 -0.067047
1305031102.185800 -0.039402 -0.004169 -0.063190
1305031102.195800 -0.040063 -0.003721 -0.059522
1305031102.205800 -0.040787 -0.003162 -0.056160
1305031102.215900 -0.041465 -0.002559 -0.052367
1305031102.225800 -0.042098 -0.001922 -0.048930
1305031102.235900 -0.042777 -0.001461 -0.045122
1305031102.245800 -0.043195 -0.000978 -0.041786
1305031102.255800 -0.043549 -0.000468 -0.038158
1305031102.265800 -0.043964 0.000296 -0.034850
1305031102.275800 -0.044317 0.000947 -0.031235
1305031102.285900 -0.044817 0.001283 -0.027250
1305031102.295900 -0.045107 0.001955 -0.024131
1305031102.305800 -0.045687 0.002416 -0.020311
1305031102.315800 -0.045859 0.003215 -0.017334
1305031102.325800 -0.046305 0.003648 -0.013781
1305031102.335800 -0.046624 0.004130 -0.010432
1305031102.345800 -0.047097 0.004514 -0.006663
1305031102.355900 -0.047523 0.005074 -0.003264
1305031102.365900 -0.047949 0.005634 0.000136
1305031102.375800 -0.048467 0.006116 0.003460
1305031102.385800 -0.048693 0.006816 0.006870
1305031102.395900 -0.049246 0.007327 0.010473
1305031102.405800 -0.049653 0.008013 0.013718
1305031102.415900 -0.050105 0.008665 0.017320
1305031102.425900 -0.050576 0.009190 0.021075
1305031102.435900 -0.051047 0.009714 0.024831
1305031102.445800 -0.051538 0.010246 0.027938
1305031102.455800 -0.052096 0.010975 0.031590
1305031102.465800 -0.052558 0.011563 0.035269
1305031102.475800 -0.053003 0.011996 0.038822
1305031102.485800 -0.053682 0.012458 0.042629
1305031102.496000 -0.054227 0.012891 0.046170
1305031102.505800 -0.054788 0.013479 0.049836
1305031102.515900 -0.055232 0.014053 0.053375
1305031102.525900 -0.055769 0.014409 0.056852
1305031102.535800 -0.056522 0.014779 0.060445
1305031102.545900 -0.056946 0.015479 0.063830
1305031102.555800 -0.057610 0.015786 0.067512
1305031102.565800 -0.058040 0.016064 0.070939
1305031102.575900 -0.058557 0.016546 0.074263
1305031102.585800 -0.058877 0.017028 0.077612
1305031102.595900 -0.059385 0.017574 0.080860
1305031102.605900 -0.059661 0.017817 0.084668
1305031102.615900 -0.060297 0.018173 0.088133
1305031102.625800 -0.060587 0.018845 0.091252
1305031102.635800 -0.061301 0.019335 0.095338
1305031102.645800 -0.061753 0.019987 0.098940
1305031102.655800 -0.062331 0.020589 0.102746
1305031102.665800 -0.062581 0.021522 0.106344
1305031102.675900 -0.062951 0.022187 0.110097
1305031102.685800 -0.063619 0.022853 0.113814
1305031102.695800 -0.063970 0.023645 0.117414
1305031102.705800 -0.064375 0.024339 0.121447
1305031102.715900 -0.064869 0.025097 0.125390
1305031102.725800 -0.065065 0.025995 0.129357
1305031102.735900 -0.065668 0.026689 0.133365
1305031102.745800 -0.066169 0.027664 0.137357
1305031102.755900 -0.066656 0.028344 0.141238
1305031102.765900 -0.067131 0.029228 0.145028
1305031102.775800 -0.067509 0.029971 0.148844
1305031102.785800 -0.067821 0.030883 0.152938
1305031102.795800 -0.068396 0.031767 0.156716
1305031102.805800 -0.068752 0.032777 0.160364
1305031102.815900 -0.069010 0.033788 0.164025
1305031102.825800 -0.069458 0.034720 0.167599
1305031102.835800 -0.069926 0.035527 0.171326
1305031102.845800 -0.070403 0.036270 0.175130
1305031102.855800 -0.070935 0.037048 0.178565
1305031102.865800 -0.071366 0.037966 0.181999
1305031102.875800 -0.071905 0.038822 0.185497
1305031102.885800 -0.072418 0.039726 0.188779
1305031102.895800 -0.073047 0.040644 0.192188
1305031102.905800 -0.073487 0.041500 0.195698
1305031102.915900 -0.074217 0.042278 0.199109
1305031102.925800 -0.074837 0.043259 0.202441
1305031102.935800 -0.075433 0.044009 0.205584
1305031102.945800 -0.076153 0.044850 0.208918
1305031102.955900 -0.077008 0.045719 0.212519
1305031102.965800 -0.077717 0.046764 0.215761
1305031102.975900 -0.078508 0.047795 0.218852
1305031102.985900 -0.079211 0.048622 0.222046
1305031102.995900 -0.079823 0.049526 0.225315
1305031103.005800 -0.080497 0.050543 0.228279
1305031103.015900 -0.081208 0.051447 0.231536
1305031103.025800 -0.081800 0.052478 0.234651
1305031103.035800 -0.082177 0.053495 0.237652
1305031103.045800 -0.082761 0.054448 0.240705
1305031103.055800 -0.083219 0.055450 0.243553
1305031103.065800 -0.083654 0.056220 0.246214
1305031103.075800 -0.084007 0.057004 0.249027
1305031103.085800 -0.084583 0.057880 0.252017
1305031103.095800 -0.084835 0.058805 0.254827
1305031103.105800 -0.085178 0.059652 0.257563
1305031103.115800 -0.085710 0.060563 0.260197
1305031103.125900 -0.085764 0.061488 0.263033
1305031103.135800 -0.086187 0.062462 0.265602
1305031103.145900 -0.086530 0.063309 0.268338
1305031103.155900 -0.086865 0.064079 0.271011
1305031103.166800 -0.087199 0.064990 0.273670
1305031103.175800 -0.087425 0.065823 0.276279
1305031103.185800 -0.087767 0.066811 0.279000
1305031103.195900 -0.087974 0.067771 0.281455
1305031103.205800 -0.088189 0.068808 0.283972
1305031103.215800 -0.088307 0.069705 0.286517
1305031103.225800 -0.088387 0.070713 0.288767
1305031103.235800 -0.088472 0.071440 0.291046
1305031103.245800 -0.088654 0.072308 0.293299
1305031103.255800 -0.088802 0.073007 0.295286
1305031103.265800 -0.088923 0.073755 0.297057
1305031103.275800 -0.089021 0.074271 0.298640
1305031103.285800 -0.089201 0.074772 0.300070
1305031103.295800 -0.089248 0.075104 0.301248
1305031103.305800 -0.089448 0.075470 0.302045
1305031103.315800 -0.089472 0.075570 0.303035
1305031103.325800 -0.089334 0.075690 0.303541
1305031103.335800 -0.089190 0.075592 0.303999
1305031103.345900 -0.088944 0.075635 0.304455
1305031103.355800 -0.088584 0.075523 0.304799
1305031103.365800 -0.088389 0.075241 0.304852
1305031103.375900 -0.088086 0.075023 0.304840
1305031103.385800 -0.087937 0.074699 0.304462
1305031103.395800 -0.087861 0.074424 0.303855
1305031103.405900 -0.087662 0.073917 0.303072
1305031103.415800 -0.087574 0.073205 0.302368
1305031103.425800 -0.087420 0.072796 0.301140
1305031103.435900 -0.087510 0.072211 0.300257
1305031103.445800 -0.087405 0.071618 0.298611
1305031103.455800 -0.087346 0.070849 0.297336
1305031103.465800 -0.087440 0.070116 0.295680
1305031103.475900 -0.087311 0.069291 0.293847
1305031103.485800 -0.087255 0.068374 0.291798
1305031103.495900 -0.087011 0.067393 0.289851
1305031103.505800 -0.086921 0.066448 0.287524
1305031103.516000 -0.086706 0.065411 0.285006
1305031103.525800 -0.086520 0.064184 0.282719
1305031103.535800 -0.086314 0.063084 0.280279
1305031103.545800 -0.085768 0.061877 0.277533
1305031103.555800 -0.085646 0.060622 0.274955
1305031103.565800 -0.085281 0.059401 0.272045
1305031103.575900 -0.084943 0.058132 0.269351
1305031103.585800 -0.084648 0.057101 0.266199
1305031103.595800 -0.084277 0.055662 0.263240
1305031103.605800 -0.083885 0.054491 0.260114
1305031103.615900 -0.083613 0.053052 0.257143
1305031103.626000 -0.083205 0.051726 0.253891
1305031103.635800 -0.082815 0.050414 0.250779
1305031103.645800 -0.082408 0.048946 0.247541
1305031103.655800 -0.082201 0.047479 0.244279
1305031103.665800 -0.081659 0.046124 0.240760
1305031103.675800 -0.081126 0.044706 0.237319
1305031103.685800 -0.080586 0.043211 0.233814
1305031103.695900 -0.080070 0.041807 0.230512
1305031103.705800 -0.079285 0.040487 0.226662
1305031103.715800 -0.078770 0.039083 0.223360
1305031103.725800 -0.077987 0.037622 0.219525
1305031103.735800 -0.077602 0.036020 0.215653
1305031103.745800 -0.076909 0.034482 0.211742
1305031103.755800 -0.076441 0.033035 0.208009
1305031103.765800 -0.075747 0.031638 0.204084
1305031103.775800 -0.075180 0.030191 0.200363
1305031103.785800 -0.074674 0.028857 0.196337
1305031103.795900 -0.073872 0.027523 0.192347
1305031103.805800 -0.073384 0.026202 0.188460
1305031103.815900 -0.072778 0.025009 0.184432
1305031103.825800 -0.072298 0.023766 0.180607
1305031103.835800 -0.072042 0.022615 0.176960
1305031103.845800 -0.071426 0.021485 0.172855
1305031103.855800 -0.071025 0.020509 0.168851
1305031103.865800 -0.070817 0.019175 0.164787
1305031103.875800 -0.070184 0.018030 0.160542
1305031103.885800 -0.069734 0.016731 0.156146
1305031103.895800 -0.069100 0.015586 0.151902
1305031103.905800 -0.068776 0.014237 0.147710
1305031103.915800 -0.068325 0.012938 0.143315
1305031103.925800 -0.067865 0.011701 0.138843
1305031103.935800 -0.067240 0.010634 0.134661
1305031103.945800 -0.066904 0.009489 0.130379
1305031103.955800 -0.066263 0.008267 0.126071
1305031103.965800 -0.065784 0.007157 0.121445
1305031103.975800 -0.064993 0.005752 0.116746
1305031103.985800 -0.064332 0.004656 0.112284
1305031103.995900 -0.063557 0.003406 0.107710
1305031104.005800 -0.062900 0.002029 0.103277
1305031104.015800 -0.062196 0.000694 0.099275
1305031104.025800 -0.061224 -0.000697 0.094740
1305031104.035800 -0.060501 -0.001905 0.090584
1305031104.045800 -0.059681 -0.003253 0.086455
1305031104.055800 -0.058966 -0.004384 0.082362
1305031104.065800 -0.058125 -0.005465 0.078065
1305031104.075900 -0.057202 -0.006532 0.073921
1305031104.085800 -0.056389 -0.007803 0.069854
1305031104.095800 -0.055585 -0.008997 0.065851
1305031104.105800 -0.054589 -0.010113 0.061935
1305031104.115800 -0.053766 -0.011180 0.057778
1305031104.125800 -0.052843 -0.012247 0.053633
1305031104.135900 -0.052372 -0.013553 0.049886
1305031104.145800 -0.051484 -0.014592 0.046020
1305031104.155800 -0.050877 -0.015645 0.041978
1305031104.165800 -0.050088 -0.016684 0.038100
1305031104.175800 -0.049488 -0.017659 0.034120
1305031104.185800 -0.048742 -0.018459 0.029782
1305031104.195800 -0.048303 -0.019455 0.026286
1305031104.205800 -0.047713 -0.020494 0.022383
1305031104.215900 -0.047003 -0.021265 0.018325
1305031104.225800 -0.046438 -0.022212 0.014624
1305031104.235900 -0.045945 -0.023110 0.010695
1305031104.245800 -0.045704 -0.024107 0.007173
1305031104.255800 -0.045237 -0.024913 0.003446
1305031104.265800 -0.044678 -0.025642 -0.000206
1305031104.275900 -0.044345 -0.026420 -0.003666
1305031104.285900 -0.043903 -0.027134 -0.007191
1305031104.295900 -0.043569 -0.027912 -0.010651
1305031104.305800 -0.043126 -0.028486 -0.014190
1305031104.315800 -0.042800 -0.029186 -0.017588
